id,fecha,temperatura_abrigo_150cm,temperatura_abrigo_150cm_maxima,temperatura_abrigo_150cm_minima,temperatura_intemperie_5cm_minima,temperatura_intemperie_50cm_minima,temperatura_suelo_5cm_media,temperatura_suelo_10cm_media,temperatura_inte_5cm,temperatura_intemperie_150cm_minima,humedad_suelo,precipitacion_pluviometrica,granizo,nieve,heliofania_efectiva,heliofania_relativa,tesion_vapor_media,humedad_media,humedad_media_8_14_20,rocio_medio,duracion_follaje_mojado,velocidad_viento_200cm_media,direccion_viento_200cm,velocidad_viento_1000cm_media,direccion_viento_1000cm,velocidad_viento_maxima,presion_media,radiacion_global,radiacion_neta,evaporacion_tanque,evapotranspiracion_potencial,profundidad_napa,horas_frio,unidad_frio
NH0098,1956-04-01,13.65,21.6,5.7,4.1,,,,,,,0,0,0,,,8.3,,62,4.3,,3.2,,4,,,,,,,,,1.962264,
NH0098,1956-04-02,16.75,23.6,9.9,8.4,,,,,,,0,0,0,,,10.4,,71,7.5,,10.4,,13,,,,,,,,,0,
NH0098,1956-04-03,19,25.9,12.1,10.8,,,,,,,0,0,0,,,13.2,,78,11.1,,7.2,,9,,,,,,,,,0,
NH0098,1956-04-04,17.55,23.6,11.5,10.5,,,,,,,0,0,0,,,10.6,,70,7.8,,7.2,,9,,,,,,,,,0,
NH0098,1956-04-05,20,27.2,12.8,11.1,,,,,,,0,0,0,,,11.6,,66,9.2,,5.6,,7,,,,,,,,,0,
NH0098,1956-04-06,19.2,24.7,13.7,11.8,,,,,,,0,0,0,,,13.1,,79,11,,15.2,,19,,,,,,,,,0,
NH0098,1956-04-07,15,19.1,10.9,10.8,,,,,,,0,0,0,,,9.7,,78,6.5,,9.6,,12,,,,,,,,,0,
NH0098,1956-04-08,18.75,26.8,10.7,9.8,,,,,,,0,0,0,,,12.2,,76,9.9,,8.8,,11,,,,,,,,,0,
NH0098,1956-04-09,18.25,26.6,9.9,14.8,,,,,,,0,0,0,,,12.9,,81,10.7,,11.2,,14,,,,,,,,,0,
NH0098,1956-04-10,11.4,15.4,7.4,7.9,,,,,,,0,0,0,,,6.2,,68,0.2,,26.4,,33,,,,,,,,,0,
NH0098,1956-04-11,9.450001,17.7,1.2,-0.7,,,,,,,0,0,0,,,5.6,,62,-1.2,,3.2,,4,,,,,,,,,8.436364,
NH0098,1956-04-12,12.55,20.4,4.7,2.8,,,,,,,0,0,0,,,6.4,,56,0.6,,8.8,,11,,,,,,,,,3.515924,
NH0098,1956-04-13,12.95,20.9,5,2.5,,,,,,,0,0,0,,,7.5,,64,2.9,,4.8,,6,,,,,,,,,3.018868,
NH0098,1956-04-14,13.85,22.4,5.3,3.8,,,,,,,0,0,0,,,8.6,,70,4.8,,7.2,,9,,,,,,,,,2.385965,
NH0098,1956-04-15,16.25,23.3,9.2,8.3,,,,,,,0,0,0,,,11,,77,8.4,,8.8,,11,,,,,,,,,0,
NH0098,1956-04-16,16.9,25,8.8,7.8,,,,,,,0,0,0,,,10.5,,74,7.7,,12,,15,,,,,,,,,0,
NH0098,1956-04-17,18.55,24.2,12.9,11.3,,,,,,,0,0,0,,,13,,79,10.9,,10.4,,13,,,,,,,,,0,
NH0098,1956-04-18,19.6,25,14.2,13.2,,,,,,,0,0,0,,,11.8,,76,9.4,,5.6,,7,,,,,,,,,0,
NH0098,1956-04-19,17.7,25.3,10.1,9.3,,,,,,,0,0,0,,,10.9,,77,8.2,,5.6,,7,,,,,,,,,0,
NH0098,1956-04-20,18.2,26.8,9.6,7.8,,,,,,,0,0,0,,,11.5,,76,9,,8.8,,11,,,,,,,,,0,
NH0098,1956-04-21,16.55,19,14.1,12.6,,,,,,,0,0,0,,,14.2,,95,12.2,,5.6,,7,,,,,,,,,0,
NH0098,1956-04-22,14.9,18.9,10.9,12.7,,,,,,,0,0,0,,,9.6,,91,6.4,,16.8,,21,,,,,,,,,0,
NH0098,1956-04-23,14.2,23.1,5.3,4.3,,,,,,,0,0,0,,,8.7,,77,5,,7.2,,9,,,,,,,,,2.292135,
NH0098,1956-04-24,13.5,19.8,7.2,5.4,,,,,,,0,0,0,,,9.2,,75,5.8,,6.4,,8,,,,,,,,,0,
NH0098,1956-04-25,14.45,21.7,7.2,5.4,,,,,,,0,0,0,,,9.2,,71,5.8,,7.2,,9,,,,,,,,,0,
NH0098,1956-04-26,19.45,24.2,14.7,12.9,,,,,,,0,0,0,,,10.5,,66,7.7,,7.2,,9,,,,,,,,,0,
NH0098,1956-04-27,14.5,19.7,9.3,8.3,,,,,,,0,0,0,,,8.7,,75,5,,9.6,,12,,,,,,,,,0,
NH0098,1956-04-28,13.4,21.4,5.4,3.4,,,,,,,0,0,0,,,6.9,,61,1.7,,7.2,,9,,,,,,,,,2.4,
NH0098,1956-04-29,17,25.2,8.8,7.3,,,,,,,0,0,0,,,10.2,,66,7.3,,17.6,,22,,,,,,,,,0,
NH0098,1956-04-30,17.7,22.4,13,11.6,,,,,,,0,0,0,,,10.1,,74,7.1,,16.8,,21,,,,,,,,,0,
NH0098,1956-05-01,12.5,18.8,6.2,4.8,,,,,,,0,0,0,,,6.1,,56,0,,1.6,,2,,,,,,,,,1.52381,
NH0098,1956-05-02,13.55,20.6,6.5,3.1,,,,,,,0,0,0,,,5.9,,53,-0.5,,8.8,,11,,,,,,,,,0.8510638,
NH0098,1956-05-03,11.65,17.9,5.4,3.9,,,,,,,0,0,0,,,8.3,,79,4.3,,8.8,,11,,,,,,,,,3.072,
NH0098,1956-05-04,11.25,19,3.5,2.8,,,,,,,0,0,0,,,6.2,,67,0.2,,8.8,,11,,,,,,,,,5.419355,
NH0098,1956-05-05,14.5,22.1,6.9,3.4,,,,,,,0,0,0,,,6.4,,55,0.6,,12.8,,16,,,,,,,,,0.1578946,
NH0098,1956-05-06,12.8,18.8,6.8,5.9,,,,,,,0,0,0,,,10.9,,88,8.2,,10.4,,13,,,,,,,,,0.3999996,
NH0098,1956-05-07,11.25,15.7,6.8,6.4,,,,,,,0,0,0,,,6.8,,88,1.5,,27.2,,34,,,,,,,,,0.5393254,
NH0098,1956-05-08,7.05,13.2,0.9,-0.8,,,,,,,0,0,0,,,5.4,,71,-1.7,,4.8,,6,,,,,,,,,11.90244,
NH0098,1956-05-09,9.9,15.3,4.5,2.3,,,,,,,0,0,0,,,5.5,,65,-1.4,,0.8,,1,,,,,,,,,5.555555,
NH0098,1956-05-10,10.2,18,2.4,0.5,,,,,,,0,0,0,,,5,,56,-2.7,,9.6,,12,,,,,,,,,7.076922,
NH0098,1956-05-11,12.25,20.1,4.4,2.8,,,,,,,0,0,0,,,6,,58,-0.2,,12.8,,16,,,,,,,,,3.974522,
NH0098,1956-05-12,12.3,20.8,3.8,0.2,,,,,,,0,0,0,,,6,,64,-0.2,,0.8,,1,,,,,,,,,4.517647,
NH0098,1956-05-13,11.15,18.4,3.9,2.4,,,,,,,0,0,0,,,7.4,,78,2.7,,8.8,,11,,,,,,,,,5.131034,
NH0098,1956-05-14,8.6,16.1,1.1,-1.1,,,,,,,0,0,0,,,5.8,,77,-0.7,,5.6,,7,,,,,,,,,9.440001,
NH0098,1956-05-15,7.65,15.7,-0.4,-2.9,,,,,,,0,0,0,,,5.7,,73,-1,,4.8,,6,,,,,,,,,11.03106,
NH0098,1956-05-16,7.9,16.3,-0.5,-1.6,,,,,,,0,0,0,,,6,,73,-0.2,,3.2,,4,,,,,,,,,10.71429,
NH0098,1956-05-17,8.9,16.8,1,-2,,,,,,,0,0,0,,,5.6,,75,-1.2,,4.8,,6,,,,,,,,,9.113924,
NH0098,1956-05-18,9.3,16.9,1.7,-1.5,,,,,,,0,0,0,,,5.7,,73,-1,,5.6,,7,,,,,,,,,8.368422,
NH0098,1956-05-19,9.3,18.6,0,-1.6,,,,,,,0,0,0,,,6.2,,73,0.2,,8.8,,11,,,,,,,,,9.032258,
NH0098,1956-05-20,9.8,12.3,7.3,7.5,,,,,,,0,0,0,,,7.7,,89,3.2,,11.2,,14,,,,,,,,,0,
