id,fecha,temperatura_abrigo_150cm,temperatura_abrigo_150cm_maxima,temperatura_abrigo_150cm_minima,temperatura_intemperie_5cm_minima,temperatura_intemperie_50cm_minima,temperatura_suelo_5cm_media,temperatura_suelo_10cm_media,temperatura_inte_5cm,temperatura_intemperie_150cm_minima,humedad_suelo,precipitacion_pluviometrica,granizo,nieve,heliofania_efectiva,heliofania_relativa,tesion_vapor_media,humedad_media,humedad_media_8_14_20,rocio_medio,duracion_follaje_mojado,velocidad_viento_200cm_media,direccion_viento_200cm,velocidad_viento_1000cm_media,direccion_viento_1000cm,velocidad_viento_maxima,presion_media,radiacion_global,radiacion_neta,evaporacion_tanque,evapotranspiracion_potencial,profundidad_napa,horas_frio,unidad_frio
NH0910,1975-01-01,21,31,11,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-02,21.25,28.5,14,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-03,24.25,32.5,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-04,23.5,31,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-05,19,22,16,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-06,22.25,27.5,17,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-07,24.25,30,18.5,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-08,26.5,33.5,19.5,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-09,26.5,35,18,,,,,,,,44.5,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-10,19.25,25,13.5,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-11,16.75,22,11.5,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-12,23,27.5,18.5,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-13,23.5,29,18,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-14,24.5,31,18,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-15,27.25,33.5,21,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-16,32,38,26,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-17,23,32,14,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-18,20.5,31,10,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-19,19.75,26,13.5,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-20,22,27.5,16.5,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-21,25.5,32.5,18.5,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-22,30.75,37.5,24,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-23,22.75,26,19.5,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-24,26.75,32,21.5,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-25,25.5,32,19,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-26,26.5,33,20,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-27,27.5,37,18,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-28,23.25,32.5,14,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-29,24.5,32.5,16.5,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-30,26.5,35,18,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-01-31,28.75,36,21.5,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-02-01,24,27.5,20.5,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-02-02,26.25,32,20.5,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-02-03,26.5,33,20,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-02-04,25,34,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-02-05,20.25,28,12.5,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-02-06,22,28,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-02-07,24,31,17,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-02-08,23.25,31.5,15,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-02-09,28.75,36,21.5,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-02-10,24,32,16,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-02-11,29,36,22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-02-12,28.5,34.5,22.5,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,
NH0910,1975-02-13,23.75,27.5,20,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,0,
