id,fecha,temperatura_abrigo_150cm,temperatura_abrigo_150cm_maxima,temperatura_abrigo_150cm_minima,temperatura_intemperie_5cm_minima,temperatura_intemperie_50cm_minima,temperatura_suelo_5cm_media,temperatura_suelo_10cm_media,temperatura_inte_5cm,temperatura_intemperie_150cm_minima,humedad_suelo,precipitacion_pluviometrica,granizo,nieve,heliofania_efectiva,heliofania_relativa,tesion_vapor_media,humedad_media,humedad_media_8_14_20,rocio_medio,duracion_follaje_mojado,velocidad_viento_200cm_media,direccion_viento_200cm,velocidad_viento_1000cm_media,direccion_viento_1000cm,velocidad_viento_maxima,presion_media,radiacion_global,radiacion_neta,evaporacion_tanque,evapotranspiracion_potencial,profundidad_napa,horas_frio,unidad_frio
NH0046,1973-01-01,27,33.6,20.4,17.8,,,,,,,0,0,0,13.3,93,23,,61,19.7,,7.2,,9,,,,31.1,,,7.2,,0,
NH0046,1973-01-02,27.2,34.9,19.5,17.3,,,,,,,3.7,0,0,11.1,78,24.1,,57,20.5,,3.2,,4,,,,27.3,,,6.2,,0,
NH0046,1973-01-03,25.15,29.6,20.7,20.1,,,,,,,0,0,0,9.7,68,24.5,,60,20.8,,11.2,,14,,,,24.8,,,5.9,,0,
NH0046,1973-01-04,26.45,32.6,20.3,18.9,,,,,,,0,0,0,13.4,94,23,,64,19.7,,8.8,,11,,,,31.2,,,7.3,,0,
NH0046,1973-01-05,26.05,31,21.1,19.5,,,,,,,0,0,0,13.3,94,16.1,,49,14.1,,13.6,,17,,,,31,,,8.3,,0,
NH0046,1973-01-06,20.45,27.5,13.4,11.5,,,,,,,0,0,0,12.8,90,16.8,,59,14.8,,13.6,,17,,,,30.2,,,6.3,,0,
NH0046,1973-01-07,24.85,28.9,20.8,21.2,,,,,,,0,0,0,12.5,88,10.3,,35,7.4,,18.4,,23,,,,29.6,,,9.2,,0,
NH0046,1973-01-08,20.05,27.1,13,10,,,,,,,0,0,0,9.3,66,13.9,,55,11.9,,5.6,,7,,,,24.1,,,5,,0,
NH0046,1973-01-09,23.75,32.7,14.8,11.3,,,,,,,0,0,0,12.8,91,24.5,,65,20.8,,8.8,,11,,,,30.1,,,6.2,,0,
NH0046,1973-01-10,26.95,32.2,21.7,19.9,,,,,,,0.7,1,0,4.5,32,29.6,,79,23.9,,4.8,,6,,,,15.8,,,3.9,,0,
NH0046,1973-01-11,27.6,33.2,22,20.2,,,,,,,0,0,0,10.5,74,30.2,,75,24.2,,11.2,,14,,,,26.1,,,6.4,,0,
NH0046,1973-01-12,29.6,35.1,24.1,22.5,,,,,,,38.5,0,0,8.4,60,28.7,,70,23.4,,14.4,,18,,,,22.5,,,6.8,,0,
NH0046,1973-01-13,22.45,27.3,17.6,16.5,,,,,,,0,0,0,2.8,20,20.3,,85,17.7,,26.4,,33,,,,12.8,,,4.9,,0,
NH0046,1973-01-14,17,18.9,15.1,14.6,,,,,,,0,0,0,0.3,2,15.9,,87,13.9,,18.4,,23,,,,8.4,,,2.7,,0,
NH0046,1973-01-15,17.55,24.5,10.6,8.5,,,,,,,0,0,0,13.2,94,15.9,,71,13.9,,5.6,,7,,,,30.7,,,5.1,,0,
